text,place,place_num,area,area_num,latlon
Όπου λαλούν πολλοί πετεινοί αργεί να ξημερώση,"{'Θράκη>Αίνος', 'Θράκη', 'Δαρδανέλλια (Ελλήσποντος)', 'Θράκη>Σηλυβρία', 'Άνδρος', 'Κεφαλληνία>Λειβαθώ', 'Επτάνησος', 'Μακεδονία'}",8,"{'Θράκη', 'Δαρδανέλλια (Ελλήσποντος)', 'Άνδρος', 'Επτάνησος', 'Κεφαλληνία', 'Μακεδονία'}",6,"[(38.0105134, 23.7327576), (40.20917255, 26.44139082761628), (37.8408347, 24.86238235981581), (38.8351105, 20.7094392), (38.2660322, 20.53739027630735), (40.6186482, 22.91795361795959)]"
"Όπου λαλούν πολλοί πετεινοί, αργεί να ξημερώση","{'Ανατολική Θράκη', 'Μικρά Ασία>Βιθυνία>Τρίγλεια', 'Κοζάνη>Βόϊο>Γαλατινή', 'Άνδρος', 'Λέρος'}",5,"{'Ανατολική Θράκη', 'Μικρά Ασία', 'Άνδρος', 'Λέρος', 'Κοζάνη'}",5,"[(41.6759327, 26.5587225), (38.1846366, 23.5122768), (37.8408347, 24.86238235981581), (37.9933789, 23.5389128), (40.3007259, 21.7883119)]"
Όπου μπαίνει ήλιος δε μπαίνει γιατρός. Κι όπου δεν μπαίνει ήλιος μπαίνει γιατρός.,"{'Αδριανούπολη', 'Αχαΐα>Πάτρα'}",2,"{'Αδριανούπολη', 'Αχαΐα'}",2,"[(41.7111279, 26.3579609), (38.0692748, 21.87273042232539)]"
Όπου ο Θεός δίνει το αλεύρι παἰρν' ο διάβολος το τσουβάλι,"{'Λακωνία', 'Θεσσαλία'}",2,"{'Λακωνία', 'Θεσσαλία'}",2,"[(36.76027945, 22.79046431389755), (39.5564697, 21.6905283)]"
Όπου πολλοί πετεινοί αργεί να ξημερώση,"{'Κάρπαθος', 'Μικρά Ασία>Σινώπη'}",2,"{'Κάρπαθος', 'Μικρά Ασία'}",2,"[(35.6136611, 27.11925668821135), (38.1846366, 23.5122768)]"
"Όπου πολλοί πετεινοί, αργεί να ξημερώση","{'Κρήτη', 'Θήρα (Σαντορίνη)', 'Κρήτη>Ινναχώριο>Αερινός'}",3,"{'Κρήτη', 'Θήρα (Σαντορίνη)'}",2,"[(35.308495199999996, 24.46334231842296), (36.4071112, 25.456663652707153)]"
Όπου πολύ διαλέγει στη λάσπη κατανταίνει,"{'Λακωνία', 'Μάνη'}",2,"{'Λακωνία', 'Μάνη'}",2,"[(36.76027945, 22.79046431389755), (41.4097472, 26.4024952)]"
Όπου τάβλα και  μαντήλι δέξου και τον κυρ Βασίλη,"{'Λακωνία', 'Θήρα (Σαντορίνη)'}",2,"{'Λακωνία', 'Θήρα (Σαντορίνη)'}",2,"[(36.76027945, 22.79046431389755), (36.4071112, 25.456663652707153)]"
Όπου τάβλα και μαντήλι δέξου και τον κυρ-Βασίλη,"{'Δαρδανέλλια (Ελλήσποντος)', 'Αμοργός', 'Μικρά Ασία>Κύζικος>Αρτάκη'}",3,"{'Δαρδανέλλια (Ελλήσποντος)', 'Μικρά Ασία', 'Αμοργός'}",3,"[(40.20917255, 26.44139082761628), (38.1846366, 23.5122768), (36.85252415, 25.898486967715655)]"
Όπου το βγάλ' η άκρη,"{'Κορινθία>Τρίκαλα', 'Θράκη>Σαράντα Εκκλησίες'}",2,"{'Κορινθία', 'Θράκη'}",2,"[(37.96299085, 22.733342367236247), (38.0105134, 23.7327576)]"
Όπου το πτώμα εκεί και οι αετοί,"{'Λακωνία', 'Μικρά Ασία>Λιβίσσι (Λειβίσσι)'}",2,"{'Λακωνία', 'Μικρά Ασία'}",2,"[(36.76027945, 22.79046431389755), (38.1846366, 23.5122768)]"
Όπου του μέλλει να πνιγή ποτέ του δεν πεθαίνει,"{'Μεσσηνία>Καλαμάτα', 'Κέα'}",2,"{'Μεσσηνία', 'Κέα'}",2,"[(36.70694815, 22.122363134012744), (37.60486035, 24.327495802205405)]"
"Όπου του μέλλει να πνιγή, ποτέ του δεν παιθαίνει","{'Κεφαλληνία>Παλική', 'Θεσπρωτία>Κωστάνα'}",2,"{'Θεσπρωτία', 'Κεφαλληνία'}",2,"[(39.54401235, 20.308355368968883), (38.2660322, 20.53739027630735)]"
"Όπου χτυπά τη γυναίκα και του χτυπά σάκκο αλεύρι, βγαίνει το ψηλό και μένει το χοντρό","{'Λακωνία', 'Ανάφη'}",2,"{'Λακωνία', 'Ανάφη'}",2,"[(36.76027945, 22.79046431389755), (36.37344365, 25.777285448243266)]"
Όπους λάχαμαν,"{'Ήπειρος>Ζαγόρι', 'Ιωάννινα>Νεγάδες'}",2,"{'Ιωάννινα', 'Ήπειρος'}",2,"[(39.6639818, 20.8522784), (39.6501917, 20.690845557013784)]"
Όπως δουλεύης πληρώνεσαι,"{'Ιωάννινα>Μέγα Περιστέρι', 'Θεσπρωτία>Κωστάνα'}",2,"{'Ιωάννινα', 'Θεσπρωτία'}",2,"[(39.6639818, 20.8522784), (39.54401235, 20.308355368968883)]"
Όπως ο κόσμος κι ο Κοσμάς,"{'Αδριανούπολη', 'Θράκη>Σαράντα Εκκλησίες'}",2,"{'Αδριανούπολη', 'Θράκη'}",2,"[(41.7111279, 26.3579609), (38.0105134, 23.7327576)]"
Όπως ο κόσμος κι' ο Κοσμάς,"{'Αδριανούπολη', 'Σέρρες'}",2,"{'Αδριανούπολη', 'Σέρρες'}",2,"[(41.7111279, 26.3579609), (41.0910711, 23.5498031)]"
"Όπως ο κόσμος, κι' ο Κοσμάς","{'Ανατολική Θράκη', 'Μακεδονία'}",2,"{'Ανατολική Θράκη', 'Μακεδονία'}",2,"[(41.6759327, 26.5587225), (40.6186482, 22.91795361795959)]"
Όριον έθου,"{'Κρήτη', 'Αμοργός', 'Ήπειρος', 'Μακεδονία'}",4,"{'Κρήτη', 'Αμοργός', 'Ήπειρος', 'Μακεδονία'}",4,"[(35.308495199999996, 24.46334231842296), (36.85252415, 25.898486967715655), (39.6501917, 20.690845557013784), (40.6186482, 22.91795361795959)]"
"Όρνιθα γαμπρός, κουρούνα νύφη","{'Μικρά Ασία>Τσεσμές (Κρήνη)', 'Μάνη>Αβία'}",2,"{'Μικρά Ασία', 'Μάνη'}",2,"[(38.1846366, 23.5122768), (41.4097472, 26.4024952)]"
"Όρσε γαμπρέ, κουφέτα","{'Λακωνία', 'Άνδρος'}",2,"{'Λακωνία', 'Άνδρος'}",2,"[(36.76027945, 22.79046431389755), (37.8408347, 24.86238235981581)]"
Όσ' αλέθ' ου μύλους,"{'Ήπειρος>Ζαγόρι', 'Ιωάννινα>Νεγάδες'}",2,"{'Ιωάννινα', 'Ήπειρος'}",2,"[(39.6639818, 20.8522784), (39.6501917, 20.690845557013784)]"
Όσ' αριώνουν τα παλούκια τόσ' αδυνατίζ' ο φράχτης,"{'Λακωνία', 'Πελοπόννησος'}",2,"{'Λακωνία', 'Πελοπόννησος'}",2,"[(36.76027945, 22.79046431389755), (37.36332825, 22.239537343995497)]"
Όσ' ο νους μου στο χωράφι τόσο να βρεθούν τα βόιδια,"{'Ήπειρος>Κόνιτσα', 'Αχαΐα>Πάτρα'}",2,"{'Αχαΐα', 'Ήπειρος'}",2,"[(38.0692748, 21.87273042232539), (39.6501917, 20.690845557013784)]"
